PRODUCT_PRICE_ID,PRODUCT_NAME,PRODUCT_PRICE
1,Pump Cover Cross Logo,300
2,Pump Cover EPH 2:8-9,300
3,Pump Cover EPH 5:15-16,300
4,Pump Cover IS 41:10,300
5,Pump Cover Ps 27:13,300
6,Pump Cover Ps 28:7,300
7,Pump Cover Rom 8:18,300
8,Training Shirts,300
9,Training Vests,250
10,Ladies Training Vests,250
11,Joggers,400
12,Leggings,250
13,Hoodies,450
14,Sweaters,400
15,Fitted Cap,350
16,Signature Snapback Cap,250
17,Skull Beanie,120
